perturbation_id,target_gene,mimetic_score,up_enrichment,down_enrichment
9547_UBR4_P1P2_ENSG00000127481,UBR4,0.3638153190260164,0.18982715516466697,-0.17398816386134944
1120_CYREN_P1P2_ENSG00000122783,CYREN,0.35921426612017127,0.13263368046188095,-0.22658058565829028
9904_XRCC2_P1P2_ENSG00000196584,XRCC2,0.3431275706289829,0.09690821777370542,-0.24621935285527752
7948_SKP2_P1P2_ENSG00000145604,SKP2,0.32771623538514494,0.12306786093275784,-0.2046483744523871
9623_UROD_P1P2_ENSG00000126088,UROD,0.3097033481496094,0.08496735552798039,-0.22473599262162902
7714_SDC1_P1P2_ENSG00000115884,SDC1,0.30708172485805796,0.1252063886041182,-0.18187533625393973
2548_EIF3D_P1P2_ENSG00000100353,EIF3D,0.30418686050271637,0.16671702728466847,-0.13746983321804793
2372_DRAP1_P1P2_ENSG00000175550,DRAP1,0.3036288813109722,0.11579704670947978,-0.18783183460149241
9818_WDR3_P1P2_ENSG00000065183,WDR3,0.303095513654654,0.16070522851131264,-0.14239028514334134
139_ADAT2_P1P2_ENSG00000189007,ADAT2,0.3020043058170864,0.13240166190039931,-0.1696026439166871
8931_TINF2_P1P2_ENSG00000092330,TINF2,0.29819485131730955,0.18262648608788729,-0.11556836522942228
5699_NKX6-1_P1P2_ENSG00000163623,NKX6-1,0.29412440510027316,0.11730786524937678,-0.17681653985089638
7566_RRP7A_P1P2_ENSG00000189306,RRP7A,0.29028230664686,0.1521484199356145,-0.1381338867112455
6395_PKM_P2_ENSG00000067225,PKM,0.2899665457876667,0.08288638284861372,-0.207080162939053
7411_ROMO1_P1P2_ENSG00000125995,ROMO1,0.2868752770542161,0.08348891167107741,-0.20338636538313867
9370_TSSK3_P1P2_ENSG00000162526,TSSK3,0.2858799481429537,0.13585765931042598,-0.1500222888325277
6679_PPP2CB_P1P2_ENSG00000104695,PPP2CB,0.2836785449688069,0.17260022662279034,-0.11107831834601656
3833_HMGCS1_P1P2_ENSG00000112972,HMGCS1,0.28255372541237683,0.12268745840753316,-0.1598662670048437
676_ATP6V0D1_P1P2_ENSG00000159720,ATP6V0D1,0.28008523823648757,0.11299124084965932,-0.16709399738682823
3385_GLB1_P1P2_ENSG00000170266,GLB1,0.2793485043969395,0.14723106530693741,-0.1321174390900021
1605_CHTF8_P1P2_ENSG00000168802,CHTF8,0.2747082269744445,0.14429396212162654,-0.130414264852818
5536_NDUFA3_P1P2_ENSG00000170906,NDUFA3,0.27462940938913366,0.12079803593590031,-0.15383137345323333
342_ANKRD49_P1P2_ENSG00000168876,ANKRD49,0.2742627779026612,0.10276174031907667,-0.1715010375835845
3731_HINFP_P1P2_ENSG00000172273,HINFP,0.2713167599639941,0.10942912642314272,-0.16188763354085142
4166_IPO9_P1P2_ENSG00000198700,IPO9,0.2696803667113693,0.15209985791112268,-0.11758050880024662
4713_LTV1_P1P2_ENSG00000135521,LTV1,0.2687522014782425,0.128889008795127,-0.1398631926831155
6581_POT1_P1P2_ENSG00000128513,POT1,0.2683714846864361,0.13367776398856357,-0.13469372069787253
1175_CAP1_P1P2_ENSG00000131236,CAP1,0.2679189751917004,0.11461177359305202,-0.15330720159864833
1670_CLOCK_P1P2_ENSG00000134852,CLOCK,0.2677115159952388,0.1242621270166815,-0.1434493889785573
4389_KIF23_P1P2_ENSG00000137807,KIF23,0.26594056974308933,0.14514739473732347,-0.12079317500576589
9423_TUBE1_P1P2_ENSG00000074935,TUBE1,0.26568526364654926,0.12034209248368606,-0.14534317116286322
4938_MED16_P1P2_ENSG00000175221,MED16,0.2645347752537664,0.12177557150309243,-0.14275920375067397
2212_DHX36_P1P2_ENSG00000174953,DHX36,0.26227931690091955,0.12984675983382082,-0.13243255706709875
9338_TSEN34_P1P2_ENSG00000170892,TSEN34,0.2616099371324679,0.15202881346787583,-0.10958112366459204
8913_TIMELESS_P1P2_ENSG00000111602,TIMELESS,0.26159524726416644,0.11026637169733754,-0.15132887556682892
4107_IMP3_P1P2_ENSG00000177971,IMP3,0.2604186168519123,0.1240094246299452,-0.13640919222196712
3614_H2AFX_P1P2_ENSG00000188486,H2AFX,0.26002711936448036,0.05341732764977609,-0.20660979171470426
8770_ELOB_P1P2_ENSG00000103363,ELOB,0.2591343165448209,0.12097429809888953,-0.13816001844593137
1906_CSNK2B_P1P2_ENSG00000204435,CSNK2B,0.25822302408444964,0.10751362434576568,-0.15070939973868394
2213_DHX37_P1P2_ENSG00000150990,DHX37,0.2555569421078942,0.16771434738035468,-0.08784259472753954
